DATE,CNX,TATA AUTO,HDFC,LARSEN,TKK,DABUR,SUN,WIPRO,TATA STEEL,INDIAN,NTPC,BHARTI
2008-01-01T00:00:00Z,5384.549805,95.8682,295.96,1244.5785,182.45,51.85673,87.251,265.176,756.5146,315.9688,211.65,468.007
2008-01-02T00:00:00Z,5437.799805,99.7002,291.19,1242.2101,179.69,51.56961,86.596,262.504,757.5695,312.7114,211.36,467.233
2008-01-03T00:00:00Z,5442.200195,99.6373,288.63,1217.149,185.25,52.56346,82.962,254.799,751.5648,317.6993,226.98,459.924
2008-01-04T00:00:00Z,5502.600098,98.5376,288.63,1275.376,200.73,53.64565,81.049,253.258,755.7032,318.0047,223.16,459.343
2008-01-07T00:00:00Z,5500.149902,98.7452,282.33,1285.6148,189.72,54.90452,81.572,247.093,751.2402,306.1965,220.98,452.615
2008-01-08T00:00:00Z,5460.299805,96.7476,292.21,1301.9861,181.5,52.85057,81.378,252.693,723.2452,293.6555,217.77,470.573
2008-01-09T00:00:00Z,5451.899902,96.9362,297.4,1303.562,176.08,52.36469,80.358,252.795,725.2738,292.3933,227.84,470.065
2008-01-10T00:00:00Z,5319.899902,94.2344,291.02,1264.0926,169.76,50.64202,79.971,249.636,693.1404,279.8115,218.55,468.637
2008-01-11T00:00:00Z,5348.200195,95.9932,301.58,1253.7818,164.48,49.95737,83.847,250.612,692.41010000000006,278.9564,223.82,468.661
2008-01-14T00:00:00Z,5385.25,95.931,305.66,1251.4674,162.99,50.13406,81.174,243.497,680.1572,279.7301,234.01,437.998
2008-01-15T00:00:00Z,5282.100098,96.9984,303.96,1219.2471,163.44,50.75245,80.589,236.305,691.4363,274.2332,225.25,415.297
2008-01-16T00:00:00Z,5164.950195,94.7055,284.72,1193.8798,161.77,49.69235,79.824,235.278,663.7659,271.1794,212.47,419.605
2008-01-17T00:00:00Z,5151.149902,92.727,280.12,1225.3256,168.95,49.58192,79.558,238.309,657.9235,264.6849,210.05,421.976
2008-01-18T00:00:00Z,4925.850098,89.8366,271.25,1182.4163,149.9,50.17823,79.58,236.819,634.9594,247.156,196.64,422.581
2008-01-21T00:00:00Z,4425.549805,82.2982,255.43,1109.5919,141.77,45.40776,77.733,227.829,585.5421,195.4242,169.19,399.324
2008-01-22T00:00:00Z,4134.299805,81.2931,248.62,1100.0645,121.09,37.98704,70.46,217.812,544.2394,181.6006,161.46,416.265
2008-01-23T00:00:00Z,4417,83.3034,262.58,1126.0263,129.4,43.95012,71.107,223.463,566.8788,184.4101,182.18,411.909
2008-01-24T00:00:00Z,4267.100098,82.0468,263.09,1059.3794,126.37,45.4961,68.819,209.079,544.3205,193.4494,167.34,411.909
2008-01-25T00:00:00Z,4567.200195,89.7115,272.46,1168.4584,129.71,44.70103,71.667,225.158,580.2677,204.8097,183.16,438.094
2008-01-28T00:00:00Z,4497.5,88.0777,268.03,1153.3748,122.81,44.12681,71.937,208.719,565.3371,200.3307,174.78,421.105
2008-01-29T00:00:00Z,4491.25,89.9623,260.72,1132.9061,131.79,44.61269,77.451,211.288,580.3489,193.8159,173.91,414.256
2008-01-30T00:00:00Z,4385.600098,87.0726,262.24,1107.9439,135.27,42.97836,82.709,209.901,586.9216,184.0437,165.73,416.265
2008-01-31T00:00:00Z,4349,87.0726,263.94,1094.6794,135.31,41.07901,83.254,222.949,599.3368,193.4087,161.17,418.806
