WEEK,SALES,PRICE
1,98.004,1.71
2,102.417,1.76
3,136.227,1.64
4,146.293,1.64
5,83.603,1.73
6,152.405,1.59
7,110.687,1.67
8,149.564,1.57
9,145.768,1.55
10,129.788,1.68
11,121.157,1.57
12,180.781,1.57
13,369.276,1.26
14,413.826,1.17
15,268.772,1.32
16,166.31,1.46
17,212.405,1.51
18,129.456,1.6
19,138.678,1.68
20,86.781,1.74
21,117.189,1.7
22,112.159,1.72
23,83.107,1.84
24,102.047,1.75
25,89.533,1.82
26,107.782,1.76
27,118.803,1.61
28,105.127,1.71
29,221.498,1.39
30,137.897,1.7
31,65.709,1.89
32,62.881,1.9
33,72.16,1.83
34,43.448,1.99
35,106.374,1.77
36,67.077,1.86
37,80.961,1.88
38,98.437,1.83
39,99.205,1.83
40,98.574,1.75
41,91.645,1.9
42,70.121,1.94
43,102.373,1.84
44,82.155,1.82
45,93.512,1.81
46,61.537,1.93
47,94.165,1.84
48,110.322,1.79
49,66.582,1.89
50,60.493,1.83
51,153.559,1.64
52,131.928,1.65
53,103.014,1.73
54,81.203,1.82
55,101.568,1.88
56,96.383,1.82
57,117.084,1.75
58,112.737,1.77
59,140.521,1.69
60,138.729,1.66
61,148.507,1.68
62,100.201,1.76
63,151.435,1.73
64,137.199,1.76
65,261.589,1.51
66,313.307,1.41
67,306.738,1.49
68,241.074,1.58
69,156.151,1.59
70,119.192,1.65
71,125.512,1.78
72,91.892,1.89
73,107.996,1.74
74,105.659,1.67
75,158.833,1.63
76,110.08,1.85
77,87.486,1.72
78,91.916,1.83
79,99.217,1.76
80,85.043,1.81
81,81.052,1.73
82,97.544,1.64
83,193.167,1.51
84,228.321,1.43
85,136.758,1.6
86,84.686,1.81
87,123.901,1.67
88,75.306,1.8
89,76.141,1.77
90,71.991,1.84
91,101.308,1.63
92,95.513,1.82
93,74.574,1.79
94,76.97,1.84
95,130.748,1.68
96,114.683,1.72
97,84.271,1.78
98,54.003,1.85
99,78.125,1.93
100,79.546,1.63
101,57.687,1.83
102,83.122,1.77
103,101.757,1.82
104,89.196,1.73
